left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,asymmetry,asymmetry,asymmetry,asymmetry
num_steps,step_duration,stride_duration_asymmetry,step_duration_asymmetry,swing,gait_speed,step_length,swing_asymmetry,stance_asymmetry,double_support_asymmetry,stance,double_support,stride_duration,stride_length,single_limb_support_asymmetry,cadence,single_limb_support,terminal_double_support,initial_double_support_asymmetry,initial_double_support,terminal_double_support_asymmetry,num_steps,step_duration,stride_duration_asymmetry,step_duration_asymmetry,swing,gait_speed,step_length,swing_asymmetry,stance_asymmetry,double_support_asymmetry,stance,double_support,stride_duration,stride_length,single_limb_support_asymmetry,cadence,single_limb_support,terminal_double_support,initial_double_support_asymmetry,initial_double_support,terminal_double_support_asymmetry,stride_duration,cadence,swing,initial_double_support
,,,,48.760000000000005,2.977975715723305,1.12392868030312,,,,,,0.7600000000000051,2.263261543949727,,,,,,-41.04,,,,,,33.68,3.536346162421445,1.12392868030312,,,,,,0.6400000000000006,2.263261543949727,,,,,,-40.0,,15.78947368421102,,30.926989335520926,-2.599999999999998
,,,,43.36,3.8428611489452145,1.1393328636466071,,,,,,0.5999999999999943,2.305716689367107,,,,,,-41.040000000000006,,,,,,33.52,3.842861148945169,1.1393328636466071,,,,,,0.6000000000000014,2.305716689367107,,,,,,-34.64,,1.1842378929334976e-12,,22.693726937269364,-18.475750577367222
,,,,43.519999999999996,3.560464765841954,1.1663838257204995,,,,,,0.6400000000000006,2.2786974501388526,,,,,,-40.64,,,,,,33.120000000000005,3.7978290835647455,1.1663838257204995,,,,,,0.6000000000000014,2.2786974501388526,,,,,,-34.760000000000005,,6.2499999999998614,,23.89705882352939,-16.91599539700804
,,,,44.16000000000001,1.6364580923760812,1.1123136244183534,,,,,,1.4000000000000057,2.291041329326523,,,,,,-40.8,,,,,,38.8,0.3719222937218383,1.1123136244183534,,,,,,6.159999999999997,2.291041329326523,,,,,,-34.60000000000001,,77.27272727272717,,12.137681159420318,-17.919075144508632
,,,,44.47999999999999,2.81902690962992,1.1787277049081695,,,,,,0.8399999999999892,2.3679826040891023,,,,,,-41.720000000000006,,,,,,38.68,6.577729455803072,1.1787277049081695,,,,,,0.35999999999999943,2.3679826040891023,,,,,,-40.239999999999995,,57.14285714285666,,13.03956834532372,-3.6779324055666285
,,,,43.96,7.356088718071963,1.1892548991809329,,,,,,0.3200000000000074,2.3539483897830826,,,,,,-41.839999999999996,,,,,,38.48,4.526823826505963,1.1892548991809329,,,,,,0.519999999999996,2.3539483897830826,,,,,,-39.76,,38.46153846153657,,12.465878070973622,-5.231388329979875
,,,,43.959999999999994,4.454960976734514,1.1646934906021498,,,,,,0.519999999999996,2.31657970790193,,,,,,-41.24,,,,,,37.99999999999999,5.264953881595322,1.1646934906021498,,,,,,0.4399999999999977,2.31657970790193,,,,,,-39.75999999999999,,15.384615384615174,,13.55777979981802,-3.7223340040241735
,,,,44.08,4.402177963005816,1.1518862172997804,,,,,,0.519999999999996,2.289132540763007,,,,,,-41.4,,,,,,38.440000000000005,2.8614156759537184,1.1518862172997804,,,,,,0.8000000000000114,2.289132540763007,,,,,,-39.8,,35.00000000000142,,12.794918330308516,-4.020100502512566
,,,,44.599999999999994,2.4947265769501437,1.1372463234632268,,,,,,0.9200000000000017,2.2951484507941364,,,,,,-41.599999999999994,,,,,,38.36,9.563118544975772,1.1372463234632268,,,,,,0.23999999999999488,2.2951484507941364,,,,,,-40.2,,73.91304347826147,,13.99103139013452,-3.4825870646765953
,,,,45.03999999999999,,1.1579021273309096,,,,,,1.0,,,,,,,-41.919999999999995,,,,,,38.76,,1.1579021273309096,,,,,,1.0,,,,,,,-39.879999999999995,,0.0,,13.94316163410301,-5.115346038114342
